IBAN;Booked At;Text;Credit/Debit Amount;Valuta Date
CH0987654321098765432;2024-12-21 00:00:00.0;SBB;-346;2024-12-21 00:00:00.0
CH0987654321098765432;2024-12-22 00:00:00.0;Helsana;-212;2024-12-22 00:00:00.0
CH1080808003521966037;2024-12-19 00:00:00.0;Ikea;-168;2024-12-19 00:00:00.0
CH1111222233334444555;2024-12-05 00:00:00.0;Bakery Bakery;-149;2024-12-05 00:00:00.0
CH1080808003521966037;2024-12-18 00:00:00.0;Migros;-279;2024-12-18 00:00:00.0
CH1111222233334444555;2024-12-25 00:00:00.0;Netflix;-229;2024-12-25 00:00:00.0
CH1080808003521966037;2024-12-12 00:00:00.0;Helsana;-426;2024-12-12 00:00:00.0
CH1080808003521966037;2024-12-05 00:00:00.0;SBB;-241;2024-12-05 00:00:00.0
CH0987654321098765432;2024-12-13 00:00:00.0;Migros;-445;2024-12-13 00:00:00.0
CH1080808003521966037;2024-12-19 00:00:00.0;Bakery Bakery;-231;2024-12-19 00:00:00.0
CH0987654321098765432;2024-12-12 00:00:00.0;Netflix;-480;2024-12-12 00:00:00.0
CH1111222233334444555;2024-12-02 00:00:00.0;Netflix;-262;2024-12-02 00:00:00.0
CH1111222233334444555;2024-12-25 00:00:00.0;Bakery Bakery;-380;2024-12-25 00:00:00.0
CH1111222233334444555;2024-12-25 00:00:00.0;SBB;-145;2024-12-25 00:00:00.0
CH1080808003521966037;2024-12-21 00:00:00.0;Helsana;-405;2024-12-21 00:00:00.0
CH1111222233334444555;2024-12-22 00:00:00.0;Income;1968;2024-12-22 00:00:00.0
CH1111222233334444555;2024-12-22 00:00:00.0;Rent;-1200;2024-12-22 00:00:00.0
CH1111222233334444555;2024-12-01 00:00:00.0;Bakery Bakery;-381;2024-12-01 00:00:00.0
CH1111222233334444555;2024-12-19 00:00:00.0;SBB;-293;2024-12-19 00:00:00.0
CH0987654321098765432;2024-12-08 00:00:00.0;Ikea;-245;2024-12-08 00:00:00.0
CH1080808003521966037;2024-12-03 00:00:00.0;Migros;-196;2024-12-03 00:00:00.0
CH1080808003521966037;2024-12-24 00:00:00.0;Helsana;-407;2024-12-24 00:00:00.0
CH1080808003521966037;2024-12-16 00:00:00.0;Bakery Bakery;-313;2024-12-16 00:00:00.0
CH1111222233334444555;2024-12-16 00:00:00.0;Changemaker;-404;2024-12-16 00:00:00.0
CH1080808003521966037;2024-12-29 00:00:00.0;Netflix;-405;2024-12-29 00:00:00.0
CH1111222233334444555;2024-12-25 00:00:00.0;Netflix;-203;2024-12-25 00:00:00.0
CH0987654321098765432;2024-12-19 00:00:00.0;Netflix;-204;2024-12-19 00:00:00.0
CH1080808003521966037;2024-12-29 00:00:00.0;Changemaker;-318;2024-12-29 00:00:00.0
CH1080808003521966037;2024-12-29 00:00:00.0;Income;1424;2024-12-29 00:00:00.0
CH1080808003521966037;2024-12-29 00:00:00.0;Rent;-1200;2024-12-29 00:00:00.0
CH1111222233334444555;2024-12-21 00:00:00.0;SBB;-133;2024-12-21 00:00:00.0
CH1080808003521966037;2024-12-22 00:00:00.0;Bakery Bakery;-435;2024-12-22 00:00:00.0
